"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2004","4042","","","AMID","AMID","H368","0471","","LIPSICK-NEWMAN M","16","16","3.07","2.94","88","31.3","50.0","18.8","0.0","0","1","2","2","1","3","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H374","0472","","LANDIS C","15","16","2.95","2.94","88","13.3","66.7","20.0","0.0","1","0","0","2","4","3","3","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H401","0451","","CHRISTIANSEN D","67","68","2.94","2.89","79","29.9","40.3","28.4","0.0","2","4","4","12","9","13","5","8","4","7","0","0","0","1","0","0","0","0","1","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H404","0454","","EMBRY-HUNT M","46","51","3.01","2.89","88","17.4","54.3","26.1","2.2","5","2","3","3","20","2","3","7","4","1","1","0","0","0","2","3","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H412","0455","","PAUL E","27","30","3.01","2.93","97","25.9","48.1","25.9","0.0","3","0","7","0","1","10","2","2","5","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H413","0456","","MCKINLEY R","28","32","2.85","2.83","81","28.6","39.3","32.1","0.0","4","0","3","5","0","8","3","0","6","3","0","0","0","0","3","1","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H413","0457","","PAUL E","50","53","2.68","2.93","94","10.0","56.0","32.0","2.0","3","0","3","2","3","17","8","1","11","4","0","1","0","0","2","1","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H414","0458","","MCKINLEY R","25","26","3.14","2.86","96","40.0","40.0","20.0","0.0","1","0","5","5","1","9","0","1","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H414","0459","","MCKINLEY R","25","27","3.20","2.92","96","44.0","36.0","20.0","0.0","2","3","5","3","1","7","1","1","3","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H414","9550","","MCKINLEY R","25","29","3.28","2.86","83","64.0","20.0","12.0","0.0","5","2","6","8","0","4","1","0","2","1","0","0","0","1","3","1","0","0","0","0","0","0","0","0","06-10-2004",
